DGP,blocked,hac_delta,iid,row_naive,stationary
01_iid,0.947,0.952,0.951,0.0,0.947
02_ser_mild,0.938,0.943,0.898,0.0,0.936
03_ser_strong,0.921,0.934,0.734,0.0,0.919
04_xs_mild,0.95,0.95,0.952,0.073,0.95
05_xs_strong,0.934,0.938,0.942,0.262,0.938
06_both_mod,0.937,0.939,0.898,0.088,0.936
07_both_strong,0.934,0.943,0.771,0.178,0.935
08_realistic,0.937,0.941,0.901,0.107,0.937
09_garch_mild,0.926,0.94,0.877,0.11,0.93
10_garch_strong,0.926,0.948,0.862,0.199,0.927
11_multifactor,0.937,0.947,0.895,0.225,0.94
12_regime,0.929,0.934,0.89,0.306,0.929
13_high_ar1,0.899,0.933,0.562,0.137,0.907
14_garch_highvol,0.94,0.948,0.895,0.193,0.941
