replication,seed,gross_sharpe,block_p_positive,hac_p_positive,romano_wolf_p,permutation_p,net_sharpe_5bps,passes_block,passes_hac,passes_romano_wolf,passes_permutation,passes_cost,passes_all
1,10777,1.1341211912878355,0.002,2.527047384792702e-06,0.002,0.005,1.1027228638635111,True,True,True,True,True,True
2,10778,1.7049261971633283,0.002,2.962174949772134e-11,0.002,0.005,1.6744097573119856,True,True,True,True,True,True
3,10779,1.9113691375764992,0.002,1.1102230246251565e-15,0.002,0.005,1.8801154230591723,True,True,True,True,True,True
4,10780,2.107036654148494,0.002,0.0,0.002,0.005,2.0760545470581495,True,True,True,True,True,True
5,10781,1.8561955741390008,0.002,1.887379141862766e-15,0.002,0.005,1.8252684966592536,True,True,True,True,True,True
6,10782,1.177732738957889,0.002,7.185963122324779e-07,0.002,0.005,1.1463752335241646,True,True,True,True,True,True
7,10783,1.7723614040008109,0.002,2.1727064591914313e-13,0.002,0.005,1.741926738614087,True,True,True,True,True,True
8,10784,1.250842689268316,0.002,1.1106951702810619e-07,0.002,0.005,1.2203255089971476,True,True,True,True,True,True
9,10785,1.3807139417028076,0.002,8.392944006452296e-09,0.002,0.005,1.350380315013277,True,True,True,True,True,True
10,10786,1.4047079797793165,0.002,9.239968568053314e-09,0.002,0.005,1.3744394182611668,True,True,True,True,True,True
11,10787,1.5960341769214192,0.002,2.7896018828243996e-11,0.002,0.005,1.5640382643106212,True,True,True,True,True,True
12,10788,1.5178714458047868,0.002,1.0398171212955276e-10,0.002,0.005,1.4866082229670055,True,True,True,True,True,True
13,10789,1.3746593164818932,0.002,2.5715813922744246e-09,0.002,0.005,1.3428018063104292,True,True,True,True,True,True
14,10790,1.3718703526599034,0.002,2.015135613930852e-09,0.002,0.005,1.3411527961819385,True,True,True,True,True,True
15,10791,1.8382515173266354,0.002,1.9095836023552692e-14,0.002,0.005,1.8067882427549935,True,True,True,True,True,True
16,10792,1.870013597357032,0.002,2.468691917556498e-12,0.002,0.005,1.8388214655515753,True,True,True,True,True,True
17,10793,1.5302602386854631,0.002,8.85999051902786e-11,0.002,0.005,1.4996619629981902,True,True,True,True,True,True
18,10794,1.2054236564662242,0.002,1.3276349575264135e-07,0.002,0.005,1.1737945820824658,True,True,True,True,True,True
19,10795,1.2802054915164929,0.002,1.4967030659285285e-07,0.002,0.005,1.2485777042388606,True,True,True,True,True,True
20,10796,1.7648688085585211,0.002,1.3589129821411916e-13,0.002,0.005,1.7345714739183897,True,True,True,True,True,True
21,10797,1.5566835707097317,0.002,3.277456084305186e-11,0.002,0.005,1.5252410244650123,True,True,True,True,True,True
22,10798,1.3232762482340579,0.002,3.915574242618902e-08,0.002,0.005,1.2913085666717978,True,True,True,True,True,True
23,10799,1.269198284941068,0.002,1.9100280745920628e-07,0.002,0.005,1.2379764867112149,True,True,True,True,True,True
24,10800,1.5067939415802047,0.002,5.256651780527477e-10,0.002,0.005,1.4766091905540326,True,True,True,True,True,True
25,10801,1.5650368162794759,0.002,7.341172114649908e-11,0.002,0.005,1.5337974226199862,True,True,True,True,True,True
26,10802,1.3827271700129458,0.002,3.0504104797657305e-09,0.002,0.005,1.351452558995311,True,True,True,True,True,True
27,10803,1.9334514538049328,0.002,4.3298697960381105e-15,0.002,0.005,1.9014135389380065,True,True,True,True,True,True
28,10804,1.0774796774585593,0.002,8.283372909700937e-06,0.002,0.005,1.0462917577579045,True,True,True,True,True,True
29,10805,1.5945718199052115,0.002,4.426448096950253e-11,0.002,0.005,1.5636105726984206,True,True,True,True,True,True
30,10806,1.2555231270073874,0.002,1.631888308928353e-07,0.002,0.005,1.2230808679746996,True,True,True,True,True,True
31,10807,1.5564424971253252,0.002,6.064815316619843e-11,0.002,0.005,1.525802618360941,True,True,True,True,True,True
32,10808,1.5801196879371346,0.002,8.810363549827116e-11,0.002,0.005,1.5478673227231685,True,True,True,True,True,True
33,10809,1.6501676430144516,0.002,2.8839153287663066e-12,0.002,0.005,1.6195352680479698,True,True,True,True,True,True
34,10810,1.4598119525008733,0.002,1.5774767048171157e-09,0.002,0.005,1.428397378662341,True,True,True,True,True,True
35,10811,1.26341748527133,0.002,3.38214705131179e-08,0.002,0.005,1.2311046809132036,True,True,True,True,True,True
36,10812,1.2033431786774573,0.002,9.181871420960164e-07,0.002,0.005,1.1732215954691578,True,True,True,True,True,True
37,10813,1.7748507606986437,0.002,1.2934098236883074e-13,0.002,0.005,1.7438047968856507,True,True,True,True,True,True
38,10814,1.465034954013797,0.002,3.871523990284231e-09,0.002,0.005,1.433805073844661,True,True,True,True,True,True
39,10815,1.668005632072014,0.002,1.110334046927619e-12,0.002,0.005,1.637316138381192,True,True,True,True,True,True
40,10816,1.536234451987409,0.002,1.0845990772168079e-10,0.002,0.005,1.5048176994937057,True,True,True,True,True,True
41,10817,1.3312768759212301,0.002,2.207055604941388e-08,0.002,0.005,1.3000380405388572,True,True,True,True,True,True
42,10818,1.4949133846117955,0.002,1.8428969461581346e-10,0.002,0.005,1.4642084914501774,True,True,True,True,True,True
43,10819,1.1442995913573015,0.002,2.9807171022522283e-06,0.002,0.005,1.1130577966096726,True,True,True,True,True,True
44,10820,1.1668349881823488,0.002,7.651968354505101e-07,0.002,0.005,1.1362100088480114,True,True,True,True,True,True
45,10821,1.5708946550688223,0.002,2.1694090968082946e-10,0.002,0.005,1.539366828175365,True,True,True,True,True,True
46,10822,1.026145915457904,0.002,1.2518800845739975e-05,0.002,0.005,0.9952644330228548,True,True,True,True,True,True
47,10823,1.0747166078506558,0.002,4.518309416390309e-06,0.002,0.005,1.043798283582985,True,True,True,True,True,True
48,10824,1.3314191157480029,0.002,5.2674304251709714e-08,0.002,0.005,1.3006138366863056,True,True,True,True,True,True
49,10825,1.7876864298453117,0.002,2.7067237340361316e-13,0.002,0.005,1.756601095535688,True,True,True,True,True,True
50,10826,1.5672475704955113,0.002,9.540868095569977e-11,0.002,0.005,1.5363854248713489,True,True,True,True,True,True
51,10827,1.5800367746814097,0.002,2.8880453584179122e-11,0.002,0.005,1.5484537591145042,True,True,True,True,True,True
52,10828,1.3621652243058942,0.002,5.154982551935916e-08,0.002,0.005,1.3303150668087784,True,True,True,True,True,True
53,10829,1.1788673453860337,0.002,4.112803054789893e-07,0.002,0.005,1.1480275935378303,True,True,True,True,True,True
54,10830,1.791003378741006,0.002,1.141309269314661e-13,0.002,0.005,1.76027821927662,True,True,True,True,True,True
55,10831,1.4364817520923225,0.002,3.4419446182099023e-09,0.002,0.005,1.4058640879460842,True,True,True,True,True,True
56,10832,1.7256759985369683,0.002,3.930744618685367e-12,0.002,0.005,1.6941073538813076,True,True,True,True,True,True
57,10833,1.6101292504183466,0.002,1.5935919250864572e-11,0.002,0.005,1.5790381586154636,True,True,True,True,True,True
58,10834,1.9821813100628587,0.002,6.661338147750939e-16,0.002,0.005,1.9501856080841946,True,True,True,True,True,True
59,10835,1.0185915773257161,0.002,1.48401261002018e-05,0.002,0.005,0.9885663470795156,True,True,True,True,True,True
60,10836,1.992485307516373,0.002,1.1102230246251565e-16,0.002,0.005,1.9614972127326018,True,True,True,True,True,True
61,10837,1.4247577961529967,0.002,5.0226108827544635e-09,0.002,0.005,1.3939101312526714,True,True,True,True,True,True
62,10838,1.7163636139774898,0.002,1.340927369142264e-12,0.002,0.005,1.6850720521998255,True,True,True,True,True,True
63,10839,1.3138250154602304,0.002,4.556310451153678e-08,0.002,0.005,1.2830137847461651,True,True,True,True,True,True
64,10840,0.7817567033613028,0.002,0.0008948041539971197,0.004,0.005,0.7508753256543024,True,True,True,True,True,True
65,10841,1.4405178557557228,0.002,1.7588763778775274e-09,0.002,0.005,1.4097554751260541,True,True,True,True,True,True
66,10842,1.408803546585123,0.002,5.099191402457848e-09,0.002,0.005,1.3779244148773504,True,True,True,True,True,True
67,10843,1.4735161657199116,0.002,1.3102764429007152e-09,0.002,0.005,1.442621736378503,True,True,True,True,True,True
68,10844,1.7775510135102515,0.002,1.396660564978447e-13,0.002,0.005,1.7470144639417793,True,True,True,True,True,True
69,10845,1.3754349704844433,0.002,4.393058694596164e-09,0.002,0.005,1.343733915239748,True,True,True,True,True,True
70,10846,1.1396711882398387,0.002,1.0153152300018675e-06,0.002,0.005,1.1084788262256047,True,True,True,True,True,True
71,10847,1.436739718861631,0.002,1.1932761445621054e-09,0.002,0.005,1.4056772224228251,True,True,True,True,True,True
72,10848,1.47967093429426,0.002,2.2989879999713025e-09,0.002,0.005,1.4489278881448175,True,True,True,True,True,True
73,10849,0.97977078678244,0.002,4.046682418856751e-05,0.002,0.005,0.9487015667228693,True,True,True,True,True,True
74,10850,1.4994278759211308,0.002,1.1833956037321514e-10,0.002,0.005,1.4684201964582504,True,True,True,True,True,True
75,10851,1.895610895597117,0.002,2.55351295663786e-15,0.002,0.005,1.8646723660332447,True,True,True,True,True,True
76,10852,1.1667275449356003,0.002,5.345592891670137e-07,0.002,0.005,1.1360533175908825,True,True,True,True,True,True
77,10853,1.2763244193048253,0.002,6.361974469459852e-08,0.002,0.005,1.2453103083004058,True,True,True,True,True,True
78,10854,1.2859644153907535,0.002,1.1933605437164374e-07,0.002,0.005,1.2548826767126648,True,True,True,True,True,True
79,10855,1.7971141068108702,0.002,5.540012892879531e-14,0.002,0.005,1.7657122429172465,True,True,True,True,True,True
